runId,chain,architecture,language,operation,nodeCount,priceTier,warmup,txId,submittedAt,receivedAt,confirmUnit,feeUnitsUsed,feeUnitPrice,feePaidNative,feeCurrency,status
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,true,0x161eda6b3c093f1730c6db2a4a0e67d6e39c2a5687b792008ce29ba6703ed82e,1787370769794,1787370772322,12403,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,true,0xa8a22a598c186f0528cdb04fe5cdf7ba62d79b7e3ca923de85410dc46ed61733,1787370769794,1787370772324,12403,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,true,0x9d785712a299a85b279d6db34724d9b274cd826947bd5bac910d3ee442006492,1787370769794,1787370772324,12403,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,true,0x33f5825b54e0a8f0b335b0a302500980c02ba3fab1a834dfacd06efc2e6ff483,1787370769794,1787370772324,12403,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,true,0xca762a527ff1f8c08ef61d64fbfcd9d8aca15cb42d1bd695c65c65fd30d29494,1787370769794,1787370772323,12403,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,false,0xb2c7e4122503e41a503276bb77e190d34509fb8c2aefcdbc12aebb82912a7183,1787370772324,1787370774857,12408,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,false,0xe4079dc13fb7d1ad7771b1431f7b64c7ede7bfb57635e958bfe47abc0b112714,1787370772324,1787370774856,12408,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,false,0xe3913d98980d31d86b789a3a323ff49ef24b0c1c033b9036ba5013ef61eab919,1787370772324,1787370774857,12408,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,false,0x8e730b11279592001dcdf89d73f2a16067ff739323b9a7d0af6a375c4b3e3fa1,1787370772324,1787370774856,12408,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,false,0x9f1e5c2344ff69c35fd0ffbf905fb706d405278fc44b08c2d8cc737b55f6fc97,1787370772324,1787370774857,12408,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,false,0x4a5badfe51963c812455140bb2da31ccf1419c6ff3e64ed51871586fa148877a,1787370774857,1787370777081,12413,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,false,0xeecc684bcaa0c685ac846a0038bf9dea7550ab9104f8dfffd652467e3ef20c4c,1787370774857,1787370777081,12413,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,false,0xcf351fdd4983a9ef4366dc62a1bc3d100fa71d6878a4ba403b266c70970e6862,1787370774858,1787370777082,12413,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,false,0xc2c5802751084625fa069499d253b027fc5de99a4c0f37e25ee48734098b7ce7,1787370774858,1787370777082,12413,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,false,0x170e00146d2f2300f7ee29580219cc416bf8c2ee5835bf51a4dc70c971bd04e4,1787370774858,1787370777081,12413,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,false,0x394f9f151743a0043ada55d206cadf0d748021ae8063bbf3ce5efb0de4454207,1787370777082,1787370779603,12418,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,false,0xbd087a4ca914bbb2edf9b31007173a69c079c6254253da99ebe893955f60e2c0,1787370777082,1787370779602,12418,30503,1000000000,31209000000000,CFX,success
confluxCore-cancel-1787370769710,confluxCore,dag,solidity-cvm,cancel,,,false,0x730dad87c23409d108d11a59e39ad3bf88c4d1e4fa2ed951b444f7fa24d79469,1787370777082,1787370779603,12418,30503,1000000000,31209000000000,CFX,success
